SOW ID,# Days before expiration,SOW Status,SOW title,Contract Id,Active SOW workers,Start Date,End date,Latest maximum budget,currency,supplier,Business Unit,Primary LOB,SOW owner
SOW-2024-0098,87,Active,SAP Implementation Services,CNT-2024-0098,7,2025-02-24,2026-02-24,90058,GBP,Accenture,Finance,Application Development,Michael Rodriguez
SOW-2025-0078,88,Active,Network Security Enhancement,CNT-2025-0078,1,2024-02-26,2026-02-25,46047,USD,Digital Innovations,Finance,DevOps,Jennifer Lee
SOW-2024-0085,94,Active,SAP Implementation Services,CNT-2024-0085,16,2025-03-03,2026-03-03,1507029,EUR,Global IT Services,Product,IT Infrastructure,Sarah Chen
SOW-2025-0112,98,Active,SAP Implementation Services,CNT-2025-0112,8,2024-03-07,2026-03-07,309906,USD,Capgemini,Engineering,Application Development,Robert Garcia
SOW-2024-0124,99,Active,Network Security Enhancement,CNT-2024-0124,8,2025-03-08,2026-03-08,62311,USD,DataCore Systems,Engineering,Cybersecurity,Robert Garcia
SOW-2023-0007,101,Active,Technical Support Tier 2/3,CNT-2023-0007,19,2025-06-13,2026-03-10,512238,USD,Global IT Services,Operations,Cybersecurity,Michael Rodriguez
SOW-2023-0111,101,Active,Data Engineering Team Augmentation,CNT-2023-0111,5,2025-06-13,2026-03-10,61388,GBP,Accenture,Technology,Project Management,Robert Garcia
SOW-2024-0102,111,Active,Data Engineering Team Augmentation,CNT-2024-0102,17,2024-03-20,2026-03-20,280706,GBP,Wipro,Data & Analytics,AI/ML Services,James Wilson
SOW-2023-0049,114,Active,UX/UI Design Services,CNT-2023-0049,18,2025-09-24,2026-03-23,496508,USD,Deloitte,Product,Business Intelligence,David Kim
SOW-2024-0114,115,Active,SAP Implementation Services,CNT-2024-0114,18,2024-03-24,2026-03-24,246631,USD,Accenture,Sales,Cloud Services,Daniel Moore
SOW-2025-0084,118,Active,Business Intelligence Dashboard Development,CNT-2025-0084,6,2025-06-30,2026-03-27,75839,USD,PWC,Finance,AI/ML Services,William Brown
SOW-2025-0026,122,Active,Network Security Enhancement,CNT-2025-0026,16,2024-10-02,2026-03-31,221661,USD,Wipro,Operations,Project Management,Emily Johnson
SOW-2024-0047,122,Active,SAP Implementation Services,CNT-2024-0047,7,2025-03-31,2026-03-31,166242,EUR,EY,Operations,Business Intelligence,Lisa Anderson
SOW-2023-0029,123,Active,Data Analytics Consulting,CNT-2023-0029,9,2025-10-03,2026-04-01,139217,USD,CloudMasters Ltd,Marketing,Quality Assurance,Jennifer Lee
SOW-2024-0105,128,Active,Data Engineering Team Augmentation,CNT-2024-0105,12,2025-10-08,2026-04-06,366679,USD,PWC,Product,Cybersecurity,Sarah Chen
SOW-2025-0046,129,Active,Infrastructure Maintenance and Support,CNT-2025-0046,22,2025-04-07,2026-04-07,1815427,USD,Accenture,Technology,IT Infrastructure,Amanda Taylor
SOW-2024-0032,129,Active,Cybersecurity Assessment and Remediation,CNT-2024-0032,0,2025-10-09,2026-04-07,43058,USD,Wipro,Customer Service,Cloud Services,Emily Johnson
SOW-2023-0106,140,Active,Network Security Enhancement,CNT-2023-0106,18,2025-07-22,2026-04-18,305177,USD,Infosys,Customer Service,IT Infrastructure,Patricia Davis
SOW-2024-0054,140,Active,DevOps Pipeline Implementation,CNT-2024-0054,7,2025-10-20,2026-04-18,95934,GBP,DataCore Systems,Customer Service,Project Management,Amanda Taylor
SOW-2023-0092,144,Active,Cloud Migration Support,CNT-2023-0092,28,2024-04-22,2026-04-22,1148599,EUR,Infosys,Sales,IT Infrastructure,Maria Santos
SOW-2024-0009,144,Active,Business Intelligence Dashboard Development,CNT-2024-0009,6,2024-10-24,2026-04-22,89623,GBP,Infosys,Human Resources,Project Management,Emily Johnson
SOW-2025-0128,144,Active,Data Analytics Consulting,CNT-2025-0128,1,2025-10-24,2026-04-22,164607,USD,Infosys,Operations,AI/ML Services,David Kim
SOW-2023-0104,145,Active,DevOps Pipeline Implementation,CNT-2023-0104,7,2025-07-27,2026-04-23,316616,USD,CloudMasters Ltd,Product,IT Infrastructure,James Wilson
SOW-2024-0072,147,Active,Cybersecurity Assessment and Remediation,CNT-2024-0072,10,2025-07-29,2026-04-25,167771,USD,CloudMasters Ltd,Data & Analytics,IT Infrastructure,Emily Johnson
SOW-2023-0070,150,Active,Cloud Migration Support,CNT-2023-0070,30,2024-10-30,2026-04-28,732622,USD,PWC,Customer Service,IT Infrastructure,David Kim
SOW-2025-0134,150,Active,Data Engineering Team Augmentation,CNT-2025-0134,10,2024-10-30,2026-04-28,185432,USD,Deloitte,Sales,Digital Transformation,John Martinez
SOW-2023-0045,150,Active,SAP Implementation Services,CNT-2023-0045,5,2024-04-28,2026-04-28,65223,EUR,Cognizant,Product,Business Intelligence,William Brown
SOW-2025-0145,151,Active,Business Intelligence Dashboard Development,CNT-2025-0145,11,2025-04-29,2026-04-29,386202,USD,Accenture,Technology,AI/ML Services,Sarah Chen
SOW-2023-0142,153,Active,Cloud Migration Support,CNT-2023-0142,45,2024-11-02,2026-05-01,763315,USD,Agile Consulting,Product,IT Infrastructure,James Wilson
SOW-2024-0048,157,Active,Technical Support Tier 2/3,CNT-2024-0048,4,2024-11-06,2026-05-05,50788,GBP,DataCore Systems,Marketing,Data Engineering,Sarah Chen
SOW-2025-0067,162,Active,Software Development Services,CNT-2025-0067,40,2024-11-11,2026-05-10,647111,USD,Infosys,Engineering,Cybersecurity,John Martinez
SOW-2024-0030,163,Active,DevOps Pipeline Implementation,CNT-2024-0030,10,2025-08-14,2026-05-11,453936,USD,Infosys,Operations,Digital Transformation,David Kim
SOW-2023-0103,163,Active,DevOps Pipeline Implementation,CNT-2023-0103,1,2025-11-12,2026-05-11,44692,USD,Digital Innovations,Product,Digital Transformation,Michael Rodriguez
SOW-2024-0062,166,Active,QA Testing Services,CNT-2024-0062,34,2025-08-17,2026-05-14,1231732,EUR,KPMG,Human Resources,DevOps,Sarah Chen
SOW-2023-0126,166,Active,SAP Implementation Services,CNT-2023-0126,13,2024-05-14,2026-05-14,239735,USD,TCS,Data & Analytics,DevOps,Jennifer Lee
SOW-2024-0023,171,Active,Business Intelligence Dashboard Development,CNT-2024-0023,9,2025-05-19,2026-05-19,389274,USD,TCS,Human Resources,Application Development,Daniel Moore
SOW-2025-0017,173,Active,Mobile App Development,CNT-2025-0017,13,2024-11-22,2026-05-21,823809,USD,DataCore Systems,Marketing,Application Development,Daniel Moore
SOW-2024-0043,174,Active,Salesforce Customization,CNT-2024-0043,7,2025-08-25,2026-05-22,284238,GBP,DataCore Systems,Engineering,Digital Transformation,Emily Johnson
SOW-2023-0027,177,Active,DevOps Pipeline Implementation,CNT-2023-0027,9,2024-11-26,2026-05-25,153661,USD,Digital Innovations,Technology,AI/ML Services,William Brown
SOW-2025-0094,177,Active,Salesforce Customization,CNT-2025-0094,1,2025-08-28,2026-05-25,35789,GBP,Cognizant,Human Resources,DevOps,Robert Garcia
SOW-2023-0051,180,Active,Cybersecurity Assessment and Remediation,CNT-2023-0051,9,2024-11-29,2026-05-28,237750,USD,Capgemini,Human Resources,Application Development,Robert Garcia
SOW-2024-0059,182,Active,SAP Implementation Services,CNT-2024-0059,8,2025-09-02,2026-05-30,272012,GBP,Deloitte,Marketing,Application Development,Robert Garcia
SOW-2023-0121,184,Active,SAP Implementation Services,CNT-2023-0121,20,2024-12-03,2026-06-01,282227,USD,Agile Consulting,Customer Service,Cloud Services,Maria Santos
SOW-2024-0122,186,Active,QA Testing Services,CNT-2024-0122,9,2025-06-03,2026-06-03,464011,USD,Infosys,Engineering,Project Management,William Brown
SOW-2023-0077,191,Active,Data Engineering Team Augmentation,CNT-2023-0077,8,2025-09-11,2026-06-08,58674,USD,Agile Consulting,Marketing,Business Intelligence,Patricia Davis
SOW-2023-0061,191,Active,Salesforce Customization,CNT-2023-0061,5,2024-06-08,2026-06-08,37300,USD,KPMG,Engineering,Data Engineering,Daniel Moore
SOW-2025-0132,191,Active,Infrastructure Maintenance and Support,CNT-2025-0132,3,2024-12-10,2026-06-08,80433,EUR,Accenture,Finance,Business Intelligence,John Martinez
SOW-2025-0096,192,Active,Business Intelligence Dashboard Development,CNT-2025-0096,7,2025-06-09,2026-06-09,245409,USD,KPMG,Customer Service,IT Infrastructure,Jennifer Lee
SOW-2025-0044,194,Active,Software Development Services,CNT-2025-0044,5,2024-06-11,2026-06-11,29690,USD,Tech Solutions Inc,Customer Service,Data Engineering,John Martinez
SOW-2025-0141,196,Active,Salesforce Customization,CNT-2025-0141,25,2024-12-15,2026-06-13,1189236,EUR,Global IT Services,Engineering,AI/ML Services,Daniel Moore
SOW-2025-0117,196,Active,Infrastructure Maintenance and Support,CNT-2025-0117,23,2024-06-13,2026-06-13,611334,USD,DataCore Systems,Product,Cloud Services,Jennifer Lee
SOW-2025-0118,202,Active,Data Analytics Consulting,CNT-2025-0118,13,2024-06-19,2026-06-19,1434386,EUR,TCS,Customer Service,Application Development,John Martinez
SOW-2023-0093,203,Active,SAP Implementation Services,CNT-2023-0093,49,2025-09-23,2026-06-20,954407,USD,Digital Innovations,Human Resources,AI/ML Services,Michael Rodriguez
SOW-2024-0033,203,Active,Mobile App Development,CNT-2024-0033,9,2025-12-22,2026-06-20,233949,USD,Cognizant,Finance,Digital Transformation,Lisa Anderson
SOW-2023-0137,204,Active,Cybersecurity Assessment and Remediation,CNT-2023-0137,9,2025-06-21,2026-06-21,176415,USD,KPMG,Engineering,Quality Assurance,Robert Garcia
SOW-2025-0091,211,Active,UX/UI Design Services,CNT-2025-0091,2,2024-12-30,2026-06-28,45111,USD,Capgemini,Customer Service,IT Infrastructure,David Kim
SOW-2025-0119,212,Active,Mobile App Development,CNT-2025-0119,15,2024-06-29,2026-06-29,1717168,GBP,CloudMasters Ltd,Human Resources,Cybersecurity,Patricia Davis
SOW-2024-0014,215,Active,Salesforce Customization,CNT-2024-0014,50,2025-10-05,2026-07-02,1334363,USD,Digital Innovations,Operations,Data Engineering,Amanda Taylor
SOW-2024-0120,224,Active,Network Security Enhancement,CNT-2024-0120,16,2025-01-12,2026-07-11,225117,EUR,Digital Innovations,Product,Quality Assurance,Carlos Hernandez
SOW-2025-0113,225,Active,Salesforce Customization,CNT-2025-0113,45,2025-01-13,2026-07-12,624491,EUR,Capgemini,Data & Analytics,Digital Transformation,Maria Santos
SOW-2024-0002,225,Active,Salesforce Customization,CNT-2024-0002,32,2025-01-13,2026-07-12,1884506,EUR,EY,Human Resources,Application Development,John Martinez
SOW-2024-0008,226,Active,Mobile App Development,CNT-2024-0008,24,2024-07-13,2026-07-13,1841011,EUR,KPMG,Technology,Project Management,Amanda Taylor
SOW-2023-0115,230,Active,Network Security Enhancement,CNT-2023-0115,15,2024-07-17,2026-07-17,527761,USD,Digital Innovations,Human Resources,Business Intelligence,David Kim
SOW-2024-0075,235,Active,Mobile App Development,CNT-2024-0075,20,2026-01-23,2026-07-22,404607,EUR,EY,Product,Quality Assurance,William Brown
SOW-2023-0016,239,Active,Technical Support Tier 2/3,CNT-2023-0016,16,2025-10-29,2026-07-26,292289,GBP,Accenture,Operations,Business Intelligence,David Kim
SOW-2024-0144,242,Active,Salesforce Customization,CNT-2024-0144,18,2025-01-30,2026-07-29,644150,USD,Tech Solutions Inc,Product,Project Management,Lisa Anderson
SOW-2025-0036,243,Active,Salesforce Customization,CNT-2025-0036,19,2025-07-30,2026-07-30,448053,GBP,DataCore Systems,Sales,DevOps,William Brown
SOW-2023-0038,244,Active,UX/UI Design Services,CNT-2023-0038,5,2026-02-01,2026-07-31,266601,EUR,KPMG,Finance,Cloud Services,David Kim
SOW-2025-0065,246,Active,Mobile App Development,CNT-2025-0065,29,2025-11-05,2026-08-02,1093744,USD,DataCore Systems,Customer Service,Cybersecurity,Patricia Davis
SOW-2023-0123,246,Active,Salesforce Customization,CNT-2023-0123,16,2025-08-02,2026-08-02,499573,USD,Tech Solutions Inc,Data & Analytics,Data Engineering,Emily Johnson
SOW-2023-0131,252,Active,Software Development Services,CNT-2023-0131,18,2024-08-08,2026-08-08,282286,USD,Digital Innovations,Human Resources,Data Engineering,Jennifer Lee
SOW-2023-0063,253,Active,Business Intelligence Dashboard Development,CNT-2023-0063,4,2025-02-10,2026-08-09,78376,USD,EY,Operations,Digital Transformation,John Martinez
SOW-2025-0058,258,Active,Salesforce Customization,CNT-2025-0058,45,2024-08-14,2026-08-14,1057119,USD,CloudMasters Ltd,Human Resources,Business Intelligence,Patricia Davis
SOW-2023-0011,267,Active,Technical Support Tier 2/3,CNT-2023-0011,43,2024-08-23,2026-08-23,602344,USD,Tech Solutions Inc,Human Resources,Cybersecurity,Robert Garcia
SOW-2024-0097,277,Active,Technical Support Tier 2/3,CNT-2024-0097,25,2024-09-02,2026-09-02,1984562,USD,Digital Innovations,Customer Service,Digital Transformation,Sarah Chen
SOW-2025-0066,279,Active,SAP Implementation Services,CNT-2025-0066,9,2025-09-04,2026-09-04,462097,USD,Deloitte,Data & Analytics,Project Management,William Brown
SOW-2023-0080,282,Active,DevOps Pipeline Implementation,CNT-2023-0080,7,2025-09-07,2026-09-07,236547,USD,Wipro,Operations,Cybersecurity,Robert Garcia
SOW-2025-0057,292,Active,Salesforce Customization,CNT-2025-0057,6,2025-09-17,2026-09-17,95417,USD,PWC,Finance,Project Management,Robert Garcia
SOW-2025-0020,294,Active,Technical Support Tier 2/3,CNT-2025-0020,32,2026-03-23,2026-09-19,694668,USD,Accenture,Marketing,DevOps,David Kim
SOW-2023-0143,295,Active,Infrastructure Maintenance and Support,CNT-2023-0143,12,2026-03-24,2026-09-20,607119,GBP,Tech Solutions Inc,Technology,Business Intelligence,Amanda Taylor
SOW-2023-0055,313,Active,Data Engineering Team Augmentation,CNT-2023-0055,10,2026-04-11,2026-10-08,353736,GBP,Deloitte,Finance,Digital Transformation,Carlos Hernandez
SOW-2024-0056,317,Active,Mobile App Development,CNT-2024-0056,11,2024-10-12,2026-10-12,1121008,EUR,TCS,Data & Analytics,IT Infrastructure,Jennifer Lee
SOW-2023-0010,322,Active,Salesforce Customization,CNT-2023-0010,43,2025-10-17,2026-10-17,1843059,USD,CloudMasters Ltd,Engineering,Cloud Services,Emily Johnson
SOW-2024-0035,322,Active,Data Engineering Team Augmentation,CNT-2024-0035,37,2026-04-20,2026-10-17,1193496,USD,Deloitte,Human Resources,Application Development,Amanda Taylor
SOW-2024-0001,324,Active,Network Security Enhancement,CNT-2024-0001,5,2025-04-22,2026-10-19,39575,USD,EY,Sales,Business Intelligence,Michael Rodriguez
SOW-2024-0040,333,Active,Data Engineering Team Augmentation,CNT-2024-0040,4,2025-10-28,2026-10-28,70185,USD,TCS,Human Resources,Project Management,David Kim
SOW-2024-0052,336,Active,Salesforce Customization,CNT-2024-0052,15,2026-05-04,2026-10-31,1246116,GBP,Cognizant,Data & Analytics,Cybersecurity,Maria Santos
SOW-2025-0125,340,Active,Network Security Enhancement,CNT-2025-0125,16,2024-11-04,2026-11-04,784062,EUR,PWC,Sales,Quality Assurance,Michael Rodriguez
SOW-2023-0109,340,Active,SAP Implementation Services,CNT-2023-0109,8,2025-05-08,2026-11-04,79131,GBP,Wipro,Human Resources,Data Engineering,Emily Johnson
SOW-2024-0136,346,Active,Cybersecurity Assessment and Remediation,CNT-2024-0136,10,2025-11-10,2026-11-10,79148,USD,PWC,Engineering,IT Infrastructure,Emily Johnson
SOW-2023-0025,348,Active,Data Analytics Consulting,CNT-2023-0025,30,2026-05-16,2026-11-12,1117658,EUR,Accenture,Human Resources,Digital Transformation,Maria Santos
SOW-2024-0088,348,Active,Data Analytics Consulting,CNT-2024-0088,15,2025-11-12,2026-11-12,1100436,USD,Tech Solutions Inc,Engineering,Project Management,Amanda Taylor
SOW-2025-0129,360,Active,UX/UI Design Services,CNT-2025-0129,17,2025-05-28,2026-11-24,885788,GBP,Digital Innovations,Engineering,Data Engineering,Patricia Davis
SOW-2023-0116,363,Active,Software Development Services,CNT-2023-0116,5,2025-05-31,2026-11-27,311948,EUR,TCS,Human Resources,Business Intelligence,Michael Rodriguez
